district_id,district_name,aqi_value,date,component
ID_00627,Phường Xuân Phương,50.0,2026-01-07,aqi
ID_03103,Phường Tây Hồ,50.0,2026-01-07,aqi
ID_00454,Xã Hoài Đức,50.0,2026-01-07,aqi
ID_00405,Phường Tây Mỗ,50.0,2026-01-07,aqi
ID_00086,Phường Phú Thượng,50.0,2026-01-07,aqi
ID_01850,Phường Lĩnh Nam,49.0,2026-01-07,aqi
ID_01656,Phường Thượng Cát,49.0,2026-01-07,aqi
ID_02531,Xã Yên Bài,49.0,2026-01-07,aqi
ID_02548,Xã An Khánh,49.0,2026-01-07,aqi
ID_01344,Xã Kim Anh,49.0,2026-01-07,aqi
ID_00878,Phường Dương Nội,49.0,2026-01-07,aqi
ID_03274,Xã Ô Diên,49.0,2026-01-07,aqi
ID_03116,Xã Bát Tràng,48.0,2026-01-07,aqi
ID_01720,Phường Thanh Liệt,48.0,2026-01-07,aqi
ID_01993,Xã Bình Minh,47.0,2026-01-07,aqi
ID_03312,Phường Yên Nghĩa,47.0,2026-01-07,aqi
ID_02425,Xã Tam Hưng,46.0,2026-01-07,aqi
ID_03267,Xã Thượng Phúc,44.0,2026-01-07,aqi
ID_02347,Phường Hoàng Liệt,42.0,2026-01-07,aqi
ID_02661,Xã Hồng Vân,42.0,2026-01-07,aqi
ID_01237,Xã Thường Tín,41.0,2026-01-07,aqi
ID_02862,Phường Yên Sở,40.0,2026-01-07,aqi
ID_00466,Xã Ngọc Hồi,38.0,2026-01-07,aqi
ID_02245,Xã Thanh Trì,37.0,2026-01-07,aqi
ID_02851,Xã Nam Phù,37.0,2026-01-07,aqi
ID_01448,Phường Phú Lương,37.0,2026-01-07,aqi
ID_02969,Phường Kiến Hưng,37.0,2026-01-07,aqi
ID_00432,Xã Đại Thanh,36.0,2026-01-07,aqi
