data_type,date,district_id,district_name,rank,aqi_avg,aqi_prev,forecast_date,forecast_aqi
current_aqi,2026-01-07,ID_01939,Xã Dương Hòa,81,52.0,,,
current_aqi,2026-01-07,ID_00035,Xã Ba Vì,82,52.0,,,
current_aqi,2026-01-07,ID_03313,Phường Phú Diễn,83,51.0,,,
current_aqi,2026-01-07,ID_00294,Xã Hưng Đạo,84,51.0,,,
current_aqi,2026-01-07,ID_01029,Xã Thanh Oai,85,51.0,,,
current_aqi,2026-01-07,ID_01061,Phường Xuân Đỉnh,86,51.0,,,
current_aqi,2026-01-07,ID_01163,Phường Hoàng Mai,87,51.0,,,
current_aqi,2026-01-07,ID_01780,Xã Chương Dương,88,51.0,,,
current_aqi,2026-01-07,ID_01913,Phường Chương Mỹ,89,51.0,,,
current_aqi,2026-01-07,ID_01936,Phường Đại Mỗ,90,51.0,,,
current_aqi,2026-01-07,ID_02092,Xã Dân Hòa,91,51.0,,,
current_aqi,2026-01-07,ID_02583,Xã Sơn Đồng,92,51.0,,,
current_aqi,2026-01-07,ID_03161,Phường Định Công,93,51.0,,,
current_aqi,2026-01-07,ID_00008,Xã Đan Phượng,94,51.0,,,
current_aqi,2026-01-07,ID_01413,Xã Thiên Lộc,95,50.0,,,
current_aqi,2026-01-07,ID_01591,Xã Phú Xuyên,96,50.0,,,
current_aqi,2026-01-07,ID_03064,Phường Đông Ngạc,97,50.0,,,
current_aqi,2026-01-07,ID_02642,Phường Tây Tựu,98,50.0,,,
current_aqi,2026-01-07,ID_00627,Phường Xuân Phương,99,50.0,,,
current_aqi,2026-01-07,ID_03103,Phường Tây Hồ,100,50.0,,,
