id,province_id,name,normalized_name
ID_02245,12,Xã Thanh Trì,xa_thanh_tri
ID_01413,12,Xã Thiên Lộc,xa_thien_loc
ID_00124,12,Xã Thuận An,xa_thuan_an
ID_02599,12,Xã Thư Lâm,xa_thu_lam
ID_03267,12,Xã Thượng Phúc,xa_thuong_phuc
ID_01237,12,Xã Thường Tín,xa_thuong_tin
ID_02613,12,Xã Tiến Thắng,xa_tien_thang
ID_01371,12,Xã Trần Phú,xa_tran_phu
ID_01999,12,Xã Trung Giã,xa_trung_gia
ID_01637,12,Xã Ứng Hòa,xa_ung_hoa
ID_03299,12,Xã Ứng Thiên,xa_ung_thien
ID_02968,12,Xã Vân Đình,xa_van_đinh
ID_01090,12,Xã Vật Lại,xa_vat_lai
ID_00967,12,Xã Vĩnh Thanh,xa_vinh_thanh
ID_02509,12,Xã Xuân Mai,xa_xuan_mai
ID_02531,12,Xã Yên Bài,xa_yen_bai
ID_01021,12,Xã Yên Lãng,xa_yen_lang
ID_03054,12,Xã Yên Xuân,xa_yen_xuan
